partition,partition_type,aggregator,communication_round,layer_name,component_type,num_features,mean_of_running_mean,std_of_running_mean,mean_of_running_var,std_of_running_var
IID_Partition,IID,FedAvg,100,detail.S1.0.bn,other,64,0.083489016,0.73516244,0.71732414,1.0063802
IID_Partition,IID,FedAvg,100,detail.S1.1.bn,other,64,-1.9161655,2.5206366,21.471062,14.743885
IID_Partition,IID,FedAvg,100,detail.S2.0.bn,other,64,-2.8855362,3.4703248,38.58835,16.80049
IID_Partition,IID,FedAvg,100,detail.S2.1.bn,other,64,-7.1472225,4.9424515,55.37368,18.621607
IID_Partition,IID,FedAvg,100,detail.S2.2.bn,other,64,-3.3505774,4.1078134,55.593353,16.377205
IID_Partition,IID,FedAvg,100,detail.S3.0.bn,other,128,-1.8221248,6.0219383,45.74076,24.111883
IID_Partition,IID,FedAvg,100,detail.S3.1.bn,other,128,-5.1740384,3.752418,40.954407,16.782072
IID_Partition,IID,FedAvg,100,detail.S3.2.bn,other,128,-6.272938,3.323858,39.163376,13.235867
IID_Partition,IID,FedAvg,100,segment.S1S2.conv.bn,other,16,0.23429248,1.2861207,2.3228617,2.0814528
IID_Partition,IID,FedAvg,100,segment.S1S2.left.0.bn,other,8,-4.7416553,5.1345463,40.179348,38.025673
IID_Partition,IID,FedAvg,100,segment.S1S2.left.1.bn,other,16,-1.2870674,3.7966871,32.8383,12.998347
IID_Partition,IID,FedAvg,100,segment.S1S2.fuse.bn,other,16,0.9937992,22.47618,360.7511,138.40376
IID_Partition,IID,FedAvg,100,segment.S3.0.conv1.bn,other,16,-0.2444458,8.764137,34.67708,21.136015
IID_Partition,IID,FedAvg,100,segment.S3.0.dwconv1.1,other,96,-0.2936825,1.9364383,1.6910545,1.5057775
IID_Partition,IID,FedAvg,100,segment.S3.0.dwconv2.1,other,96,-0.07135512,0.40610015,0.8729492,0.8897784
IID_Partition,IID,FedAvg,100,segment.S3.0.conv2.1,other,32,0.71737105,3.0850153,8.455498,5.2119946
IID_Partition,IID,FedAvg,100,segment.S3.0.shortcut.1,other,16,-0.6547198,4.984558,7.5329375,6.309988
IID_Partition,IID,FedAvg,100,segment.S3.0.shortcut.3,other,32,2.3475599e-05,0.0014279017,56.41285,41.246334
IID_Partition,IID,FedAvg,100,segment.S3.1.conv1.bn,other,32,-5.0320663,16.885536,118.61544,64.31493
IID_Partition,IID,FedAvg,100,segment.S3.1.dwconv.1,other,192,0.0091695925,0.7851098,0.5190467,0.56448036
IID_Partition,IID,FedAvg,100,segment.S3.1.conv2.1,other,32,0.25951743,1.2465554,2.3194804,0.983269
IID_Partition,IID,FedAvg,100,segment.S4.0.conv1.bn,other,32,-0.03895998,17.198475,213.36957,88.19277
IID_Partition,IID,FedAvg,100,segment.S4.0.dwconv1.1,other,192,-0.028735215,1.8870612,1.0517827,1.2077441
IID_Partition,IID,FedAvg,100,segment.S4.0.dwconv2.1,other,192,-0.11435601,0.47565457,0.5636307,0.48011112
IID_Partition,IID,FedAvg,100,segment.S4.0.conv2.1,other,64,0.07503484,2.6307747,7.449373,7.1809335
IID_Partition,IID,FedAvg,100,segment.S4.0.shortcut.1,other,32,0.19224358,8.086623,22.168104,14.080025
IID_Partition,IID,FedAvg,100,segment.S4.0.shortcut.3,other,64,1.775978e-05,0.00088125997,40.90686,25.876593
IID_Partition,IID,FedAvg,100,segment.S4.1.conv1.bn,other,64,-2.0959208,10.332507,72.19503,48.24374
IID_Partition,IID,FedAvg,100,segment.S4.1.dwconv.1,other,384,0.0431722,0.58671266,0.26856068,0.24196808
IID_Partition,IID,FedAvg,100,segment.S4.1.conv2.1,other,64,0.090169504,1.230915,1.6853702,0.68658215
IID_Partition,IID,FedAvg,100,segment.S5_4.0.conv1.bn,other,64,-3.2995148,6.351219,71.820724,31.947065
IID_Partition,IID,FedAvg,100,segment.S5_4.0.dwconv1.1,other,384,0.03196189,0.94988126,0.43277058,0.50445276
IID_Partition,IID,FedAvg,100,segment.S5_4.0.dwconv2.1,other,384,-0.10224601,0.29821637,0.24368298,0.20791958
IID_Partition,IID,FedAvg,100,segment.S5_4.0.conv2.1,other,128,-0.073484086,1.5988739,3.5028331,1.9880633
IID_Partition,IID,FedAvg,100,segment.S5_4.0.shortcut.1,other,64,0.3041879,2.861328,5.947815,3.0911663
IID_Partition,IID,FedAvg,100,segment.S5_4.0.shortcut.3,other,128,6.2622476e-06,0.0006439425,19.96492,13.014004
IID_Partition,IID,FedAvg,100,segment.S5_4.1.conv1.bn,other,128,-3.5969136,6.6266856,56.644135,35.854656
IID_Partition,IID,FedAvg,100,segment.S5_4.1.dwconv.1,other,768,-0.01385574,0.33079496,0.11479793,0.13708335
IID_Partition,IID,FedAvg,100,segment.S5_4.1.conv2.1,other,128,0.14631954,1.0558426,1.3901303,1.0087792
IID_Partition,IID,FedAvg,100,segment.S5_4.2.conv1.bn,other,128,-2.9757972,4.9001675,47.77569,20.81698
IID_Partition,IID,FedAvg,100,segment.S5_4.2.dwconv.1,other,768,0.013978136,0.18650605,0.05322175,0.08477973
IID_Partition,IID,FedAvg,100,segment.S5_4.2.conv2.1,other,128,-0.15617236,0.9592685,0.9484173,0.48365486
IID_Partition,IID,FedAvg,100,segment.S5_4.3.conv1.bn,other,128,-2.462379,6.811078,61.721336,27.951176
IID_Partition,IID,FedAvg,100,segment.S5_4.3.dwconv.1,other,768,0.011003929,0.195208,0.06269192,0.16936758
IID_Partition,IID,FedAvg,100,segment.S5_4.3.conv2.1,other,128,-0.032388687,1.0700136,0.78555214,0.43826818
IID_Partition,IID,FedAvg,100,segment.S5_5.bn,other,128,1.9620305,1.3180256,0.6298835,0.70340085
IID_Partition,IID,FedAvg,100,segment.S5_5.conv_gap.bn,other,128,-5.556632e-05,0.00076612283,13.098278,15.839056
IID_Partition,IID,FedAvg,100,segment.S5_5.conv_last.bn,other,128,-6.182873,10.170153,132.88307,64.75964
IID_Partition,IID,FedAvg,100,bga.left1.1,other,128,-0.0035402682,0.29378286,0.5061401,0.61740726
IID_Partition,IID,FedAvg,100,bga.left2.1,other,128,0.13760725,1.2998157,6.337335,2.2263622
