Layer_Index,Layer_Name,IID_Running_Var,NonIID_Running_Var,Difference,Pct_Difference
0,bga.conv.1,137.94827,53.492065,84.45621,157.88548
1,bga.left1.1,0.5411133,0.29896933,0.24214399,80.99292
2,bga.left2.1,6.759136,4.2361093,2.523027,59.560005
3,bga.right1.1,35.790768,21.991724,13.799044,62.746532
4,bga.right2.1,0.6332084,0.41458514,0.21862325,52.733017
5,detail.S1.0.bn,0.7196817,0.5560099,0.16367179,29.436848
6,detail.S1.1.bn,23.099495,13.471979,9.627516,71.463264
7,detail.S2.0.bn,40.99823,23.682467,17.315763,73.11639
8,detail.S2.1.bn,58.75624,34.963364,23.792877,68.05088
9,detail.S2.2.bn,58.30917,36.1905,22.118671,61.117344
10,detail.S3.0.bn,48.31681,27.690586,20.626225,74.48822
11,detail.S3.1.bn,43.06778,25.457853,17.609926,69.17287
12,detail.S3.2.bn,41.101456,24.178802,16.922653,69.989624
13,head.conv.bn,10.191929,10.273924,-0.08199501,-0.7980886
14,segment.S1S2.conv.bn,2.3696594,1.4745026,0.89515686,60.709076
15,segment.S1S2.fuse.bn,381.40588,307.98212,73.42377,23.84027
16,segment.S1S2.left.0.bn,41.72068,38.650337,3.070343,7.943897
17,segment.S1S2.left.1.bn,34.632336,30.18204,4.4502964,14.744849
18,segment.S3.0.conv1.bn,35.705647,26.540758,9.164888,34.531372
19,segment.S3.0.conv2.1,8.864891,6.6082854,2.2566056,34.14813
20,segment.S3.0.dwconv1.1,1.7897539,1.1335092,0.65624475,57.89497
21,segment.S3.0.dwconv2.1,0.9268164,0.74071294,0.18610346,25.12491
22,segment.S3.0.shortcut.1,7.9400554,5.1341934,2.805862,54.65049
23,segment.S3.0.shortcut.3,59.28432,44.46106,14.823261,33.339874
24,segment.S3.1.conv1.bn,123.454605,102.14903,21.305573,20.857342
25,segment.S3.1.conv2.1,2.4384327,1.9135854,0.52484727,27.42743
26,segment.S3.1.dwconv.1,0.5402463,0.4161577,0.124088615,29.817692
27,segment.S4.0.conv1.bn,222.52156,150.82988,71.69168,47.531487
28,segment.S4.0.conv2.1,7.9041657,5.1428094,2.7613564,53.69354
29,segment.S4.0.dwconv1.1,1.1066954,0.68858844,0.41810697,60.71943
30,segment.S4.0.dwconv2.1,0.58706695,0.44972956,0.13733739,30.537773
31,segment.S4.0.shortcut.1,23.050144,14.58153,8.468615,58.077682
32,segment.S4.0.shortcut.3,42.84255,30.674732,12.167816,39.66723
33,segment.S4.1.conv1.bn,75.03913,56.92095,18.11818,31.830421
34,segment.S4.1.conv2.1,1.7778095,1.292114,0.48569548,37.589214
35,segment.S4.1.dwconv.1,0.28002882,0.20509271,0.07493611,36.537674
36,segment.S5_4.0.conv1.bn,75.71505,48.866207,26.848843,54.94358
37,segment.S5_4.0.conv2.1,3.6943662,2.3344007,1.3599656,58.25759
38,segment.S5_4.0.dwconv1.1,0.45390412,0.27617976,0.17772436,64.350975
39,segment.S5_4.0.dwconv2.1,0.2561303,0.17030697,0.08582334,50.393326
40,segment.S5_4.0.shortcut.1,6.287148,3.7812152,2.5059328,66.27321
41,segment.S5_4.0.shortcut.3,20.866592,13.794055,7.0725374,51.272358
42,segment.S5_4.1.conv1.bn,60.038406,40.024284,20.014122,50.004948
43,segment.S5_4.1.conv2.1,1.4650865,0.95730513,0.5077813,53.042786
44,segment.S5_4.1.dwconv.1,0.120438,0.08256542,0.037872583,45.86979
45,segment.S5_4.2.conv1.bn,50.402344,36.851463,13.55088,36.77162
46,segment.S5_4.2.conv2.1,1.0007179,0.6625577,0.33816016,51.038593
47,segment.S5_4.2.dwconv.1,0.05565916,0.037846375,0.017812785,47.06603
48,segment.S5_4.3.conv1.bn,64.83292,48.259907,16.57301,34.341156
49,segment.S5_4.3.conv2.1,0.8357796,0.5794147,0.25636488,44.24549
50,segment.S5_4.3.dwconv.1,0.06575158,0.04106426,0.024687324,60.11876
51,segment.S5_5.bn,0.63147116,0.58871543,0.042755723,7.262545
52,segment.S5_5.conv_gap.bn,13.62821,8.891937,4.736273,53.2648
53,segment.S5_5.conv_last.bn,139.88556,87.639114,52.246445,59.61544
